Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft
281,"Национальный исследовательский Томский государственный университет, Томский государственный университет, НИ ТГУ, ТГУ",Томская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»,https://www.tsu.ru/,https://www.tsu.ru/upload/iblock/101/qc9t6w8ydqk39yhosvnqv4c6iz62lc45/31_RPD_Tekhnologiya-razrabotki-programmnogo-obespecheniya.pdf
282,"ФГАОУ ВО НИ ТПУ, ТПУ, Национальный исследовательский Томский политехнический университет, Томский политехнический университет",Томская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»,https://tpu.ru/,https://abiturient.tpu.ru/program/1788217950
283,"Университет науки и технологий МИСИС, Университет МИСИС, НИТУ МИСИС, МИСИС",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСИС»,https://misis.ru/,https://misis.ru/applicants/admission/baccalaureate-and-specialty/faculties/math/algoritmipo/
284,"Национальный исследовательский университет «Высшая школа экономики», Высшая школа экономики, НИУ ВШЭ, ВШЭ",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»,https://www.hse.ru/,https://www.hse.ru/edu/courses/292670873
285,"Университет ИТМО, НИУ ИТМО, ИТМО",г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»,https://itmo.ru/,https://abit.itmo.ru/program/bachelor/software_engineering
286,НИЯУ МИФИ,г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»,https://www.mephi.ru/,https://www.mephi.ru/content/public/uploads/files/education/docs/SMK/pl_7.3-03_ver_1.0.pdf
287,"Новосибирский государственный университет, НГУ",Новосибирская область,федеральное государственное автономное образовательное учреждение высшего образования «Новосибирский национальный исследовательский государственный университет»,https://www.nsu.ru/,https://www.nsu.ru/n/physics-department/programmy/bakalavriat-2022-suos-3-dva-plyusa/1-kurs-programmy/1.1 Измерительный практикум (программа)_2023.pdf
288,"ФГАОУ ВО «Омский государственный технический университет», ОмГТУ",Омская область,федеральное государственное автономное образовательное учреждение высшего образования «Омский государственный технический университет»,https://www.omgtu.ru/,http://www.omgtu.ru/educational_activities/areas-of-training-implemented-in-omsk-university-in-accordance-with-gef-in/bachelor/the-list-of-work-programs-for-areas-18-03-02.php
289,"ФГАОУ ВО «ОмГУ им. Ф.М. Достоевского», ОмГУ им. Ф.М. Достоевского, ОмГУ",Омская область,федеральное государственное автономное образовательное учреждение высшего образования «Омский государственный университет им. Ф.М. Достоевского»,https://omsu.ru/,http://fctk.omsu.ru/
290,"ФГАОУ ВО «Пермский государственный национальный исследовательский университет»,  ПГНИУ, Пермский государственный национальный исследовательский университет, Пермский государственный университет, ПГУ",Пермский край,федеральное государственное автономное образовательное учреждение высшего образования «Пермский государственный национальный исследовательский университет»,http://www.psu.ru/,http://www.psu.ru/files/docs/science/books/uchebnie-posobiya/sistemnoe-i-prikladnoe-programmnoe-obespechenie.pdf
291,"ФГАОУ ВО «Пермский национальный исследовательский политехнический университет», ФГАОУ ВО «ПНИПУ», «ПНИПУ»",Пермский край,федеральное государственное автономное образовательное учреждение высшего образования «Пермский национальный исследовательский политехнический университет»,https://pstu.ru/,https://pstu.ru/title1/departments/centres/cggi/profperepodgotovka/
292,"ФГАОУ ВО «РГППУ», РГППУ, ФГАОУ ВО «Российский государственный профессионально-педагогический университет»",Свердловская область,федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный профессионально-педагогический университет»,https://rsvpu.ru/,https://rsvpu.ru/programs/informacionnye-sistemy-i-programmirovanie
293,"ФГАОУ ВО «РГУ нефти и газа (НИУ) имени И.М. Губкина», РГУ нефти и газа (НИУ) имени И.М. Губкина, Губкинский университет",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина»,https://www.gubkin.ru/,https://www.gubkin.ru/programms/bachelor.php
294,ФГАОУ ВО РНИМУ им. Н.И. Пирогова Минздрава России,г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский национальный исследовательский медицинский университет имени Н.И. Пирогова» Министерства здравоохранения Российской Федерации,https://rsmu.ru/,https://rsmu.ru/structure/administrativnye-i-khozjaistvennye-podrazdelenija/uit/orvpo/
295,"ФГАОУ ВО РУТ (МИИТ), РУТ (МИИТ)",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский университет транспорта»,https://www.miit.ru/,https://www.miit.ru/edu/programs/1013103
296,"СГЭУ, ФГАОУ ВО «СГЭУ», ФГАОУ ВО «Самарский государственный экономический университет», Самарский государственный экономический университет",Самарская область,федеральное государственное автономное образовательное учреждение высшего образования «Самарский государственный экономический университет»,http://www.sseu.ru/,https://www.sseu.ru/sotrudnikam/dokumenty-2
